Date, Temperature, Temperature Max, Temperature Min, Pression, Humidité, Vitesse Du Vent,Pluviometrie, Kc, Temp d'irrigation, Methode, Debut, Fin, ETM
2022-09-07,25.32,29.71,20.93,1014,39,5.06,,,5108,2,,,8.08
2022-09-08,27.69,29.94,25.45,1015,40,4.99,,,4788,2,,,7.58
2022-09-09,27.26,29.67,24.86,1017,33,3.19,,1.0,4200,2,,,6.65
2022-09-10,27.66,30.16,25.16,1016,44,4.62,0,1.0,1318,2,14:42:01,15:03:59,6.95
2022-09-11,28.83,32.34,25.32,1015,44,5.91,0,1,1611,2,21:17:00,21:43:51,8.50
2022-09-12,30.59,34.39,26.79,1011,37,5.78,0,1,1839,2,22:23:01,22:53:40,9.70
2022-09-14,26.25,28.93,23.58,1013,58,6.73,0.24,1,1172,2,16:32:01,16:51:35,6.18
2022-09-15,23.54,27.13,19.97,1013,51,4.56,0.55,1,958,2,23:12:01,23:27:59,5.05
2022-09-16,23.95,26.26,21.64,1014,53,4.67,0.26,1,996,2,20:53:01,21:09:37,5.25
2022-09-17,24.72,28.75,20.69,1011,43,8.24,0,1,1663,2,19:57:02,20:24:45,8.77
2022-09-18,26.02,28.55,23.49,1009,61,10.16,0,1,1299,2,23:10:01,23:31:40,6.85
2022-09-20,24.76,26.1,23.43,1017,68,5.6,0,1,798,2,19:45:05,19:58:23,4.211
2022-09-22,23.50,25.73,21.28,1017,66,5.07,0,1,838,2,00:20:01,00:33:59,4.42
2022-09-23,23.25,27.59,18.93,1017,46,6.14,0,1,1372,2,03:21:01,03:43:53,7.23
2022-09-24,25.59,28.17,23.02,1012,46,4.47,0,1,1167,2,16:30:03,16:49:32,6.15
2022-09-25,24.46,25.99,22.94,1011,44,5.26,0,1,1148,2,16:17:01,16:36:09,6.05
2022-09-26,22.44,23.93,20.96,1014,67,6.01,0.18,1,746,2,16:50:02,17:02:28,3.93
2022-09-27,23.03,25.93,20.14,1017,49,9.28,0,1,1414,2,17:31:00,17:54:34,7.46
2022-09-28,21.66,24.4,18.93,1016,46,10.37,0,1,1454,2,22:01:01,22:25:15,7.67
2022-10-04,23.37,26.13,20.62,1020,62,6.03,0,1,961,2,21:35:01,21:51:02,5.07
2022-10-05,22.98,24.93,21.03,1021,69,4.86,0.76,1,577,2,12:16:00,12:25:37,3.04
2022-10-06,22.37,24.69,20.05,1022,58,6.96,0.26,1,923,2,13:25:00,13:40:23,4.88
